//=====================================
//	SWORDS
//=====================================
0
//Index	Slot	Skill	Width	Height	Serial	Option	Drop	Name					Level	DmgMin	DmgMax	AtkSped	Durab	MagiDur	MagiDmg	ReqLvl	ReqStr	ReqAgi	ReqEne	ReqVit	Atrib	DW	DK	ELF	MG
0	0	0	1	2	1	1	1	"Kris"					6	6	11	50	20	0	0	0	40	40	0	0	0	1	1	1	1
1	0	0	1	3	1	1	1	"Short Sword"					3	3	7	20	22	0	0	0	60	0	0	0	0	1	1	1	1
2	0	0	1	3	1	1	1	"Rapier"					9	9	15	40	23	0	0	0	50	40	0	0	0	0	1	1	1
3	0	0	1	3	1	1	1	"Katana"					16	16	26	35	27	0	0	0	80	40	0	0	0	0	1	0	1
4	0	0	1	3	1	1	1	"Sword of Assassin"					12	12	18	30	24	0	0	0	60	40	0	0	0	0	1	0	1
5	0	0	1	3	1	1	1	"Blade"					36	36	47	30	39	0	0	0	80	50	0	0	0	1	1	1	1
6	0	0	1	3	1	1	1	"Gladius"					20	20	30	20	30	0	0	0	110	0	0	0	0	0	1	1	1
7	0	0	1	3	1	1	1	"Falchion"					24	24	34	25	34	0	0	0	120	0	0	0	0	0	1	0	1
8	0	0	1	3	1	1	1	"Serpent Sword"					30	30	40	20	36	0	0	0	130	0	0	0	0	0	1	0	1
9	0	0	1	3	1	1	1	"Sword of Salamander"					32	32	46	30	40	0	0	0	103	0	0	0	0	0	1	0	1
10	0	0	1	4	1	1	1	"Light Saber"					40	47	61	25	50	0	0	0	80	60	0	0	0	0	1	1	1
11	0	0	1	3	1	1	1	"Legendary Sword"					44	56	72	20	54	0	0	0	120	0	0	0	0	0	1	0	1
12	0	0	1	3	1	1	1	"Healical Sword"					56	73	98	25	66	0	0	0	140	0	0	0	0	0	1	0	1
13	0	0	1	3	1	1	1	"Double Blade"					48	48	56	30	43	0	0	0	70	70	0	0	0	0	1	1	1
14	0	0	1	3	1	1	1	"Lighting Sword"					59	59	67	30	50	0	0	0	90	50	0	0	0	0	1	1	1
